id,CPUUsage,RAMUsage,DownloadSpeed,UploadSpeed,Temperature,Humidity,Class
85,12,71.7,173.1743788,100.4997435,31.59396744,52.43772888,1
86,13.4,72.1,121.3153546,99.7618795,31.44913864,52.83521652,0
87,9.1,73,131.5115991,98.30764641,30.45344925,54.0996666,0
88,17,74,119.1605225,95.13450851,30.4353447,54.28432465,0
89,9.9,73.9,131.3223198,97.34702393,30.54396629,54.42829895,0
90,9.3,73.9,134.1609464,85.72503584,30.36293221,54.55036163,0
91,9.3,74.2,140.7867005,107.5025725,30.30862045,54.87899399,0
92,11.2,75.5,130.2494024,84.69406213,30.36293221,54.51280212,0
93,15.5,77,126.8940862,94.20579016,30.3991394,54.89464188,0
94,9.3,77.3,129.9366901,93.45223028,30.34482956,55.157547,0
95,10,77.7,95.86838965,87.62753471,30.32672501,55.30464935,0
96,17.8,79.4,124.325583,95.62995875,30.34482956,55.66770935,0
97,10.2,78.9,136.3958082,94.03734954,30.32672501,55.43297577,0
98,16.2,79.3,130.0513896,93.99810854,30.21810532,55.46427155,0
99,11.4,79.2,149.4733458,89.26587713,30.16379547,58.52837372,0
100,8.6,79.2,167.5786221,94.43202097,30.12758636,58.74119949,0
101,9.2,79.2,168.9816518,88.4062043,30.14569092,59.07609177,0
102,9.9,78.9,165.0592715,88.09241761,30.12758636,59.16059875,0
103,13.4,78.8,165.2216446,93.05425049,30.16379547,59.11364746,0
104,10.6,79.2,144.8613361,112.9363054,30.18189621,59.44853973,0
105,9.6,79.4,131.019301,133.1834704,30.72500229,60.42817688,0
106,8.8,79.5,132.506347,126.7076458,30.65258789,60.53771973,0
107,8.6,79.4,131.5481659,131.3160984,30.52586365,60.52833176,0
108,14.5,79.4,131.1672947,132.4840373,30.59827805,60.21221924,0
109,15.6,79.6,131.6715516,97.03689938,30.63448334,60.49390411,0
110,25.2,81.8,129.1037375,81.91244285,30.63448334,60.32176208,1
111,22.7,82.2,88.22809177,81.70394395,30.56206894,60.18405151,1
112,18.2,82.8,122.4129212,94.94220994,30.29051781,59.84289932,1
113,12.8,82.7,132.6384427,95.58411269,30.25431061,60.13084412,1
114,11,82.9,164.6782631,90.40546582,30.25431061,60.22160721,1
115,10.9,82.8,132.0601,91.60718456,30.36293221,60.13084412,1
116,10.4,83.1,156.2200894,91.93893949,30.3991394,60.03694916,1
117,23.7,61.3,128.6739222,87.50655903,30.38103485,60.20595932,0
118,11,61.6,131.0464746,95.79993412,30.20000076,59.31395721,0
119,14,62.3,131.4238743,98.23698964,30.07327652,59.29830933,0
120,13.3,62.6,141.3254202,98.50148576,30.16379547,58.94464111,0
121,11,62.4,157.9079637,94.67774227,30.16379547,59.15120697,0
122,16,62.7,161.7161762,93.59343638,30.12758636,58.95089722,0
123,11.4,63,149.7450678,82.86809069,30.00086212,59.44228363,0
124,13.3,64.2,90.34556901,112.4157699,30.00086212,58.89143372,0
125,20.1,63.9,127.06302,112.1940769,30.12758636,58.93524933,0
126,19.9,65.9,127.2948106,104.2798887,30.14569092,59.09173965,0
127,23.5,65.3,130.7438203,94.52923663,30.16379547,58.75058746,0
128,28.3,67.4,103.7296452,60.72274254,30.27241516,58.80066681,0
129,21,68.6,109.8343797,87.50818058,30.25431061,58.84761429,0
130,16.3,68.1,128.9261778,93.42601513,29.94655228,58.61600494,0
131,15.2,68.6,128.6605831,110.9928276,29.89224243,58.69112396,0
132,24.1,66.2,123.4381002,89.66765586,29.76551819,58.94776917,0
133,21.6,67.1,86.33059457,92.04454426,29.85603523,58.72241974,0
134,19.7,69.4,129.0290371,112.0901494,29.78362274,58.81318665,0
135,12.7,69.1,166.5530465,95.01051786,29.89224243,58.72555161,0
136,17.7,69.5,123.9127459,94.78568842,30.12758636,58.09958649,0
137,22.8,68.8,114.0594393,70.2311257,30.07327652,58.12149429,0
138,26.9,68.9,125.1182642,83.4895282,30.07327652,58.31867218,0
139,16.5,68.6,123.2416748,106.5497537,29.89224243,58.14966202,0
140,13.8,68.4,140.947323,107.7130451,29.87413788,58.19034958,0
141,17.2,69.6,140.3413063,93.6274201,30.01896667,58.36249161,0
142,13.6,69.5,128.8670175,92.2190169,29.63879395,58.61600494,0
143,16.3,70,167.4437595,111.6240179,29.6568985,58.67234421,0
144,20.7,71.5,162.6997216,109.5572002,29.56637955,58.91646957,0
145,11.5,70.6,171.8647507,93.29164426,29.6568985,58.58158112,0
146,11.5,67.6,165.9739677,92.96911685,29.56637955,58.83822632,0
147,23.6,68.6,155.63511,90.67882848,29.53017426,58.45638657,0
148,25.4,69.1,137.6927704,83.93362455,29.92844963,57.76782227,0
149,28.7,70.6,176.9137462,90.27937657,29.80172539,58.05576706,0
150,21.3,71.8,162.3768879,101.9362653,29.78362274,57.80538177,0
151,16.9,70.3,159.4901518,96.58120971,29.72931099,58.18096161,0
152,16.9,71.2,166.0307129,87.41525368,29.78362274,58.02133942,0
153,16.5,71.6,187.0694201,93.13953473,29.6568985,58.09645844,0
154,12.5,71.2,178.2172988,55.09013294,29.56637955,58.4469986,0
155,10.4,71.8,86.13115465,91.04680646,29.5844841,58.20600128,0
156,10.7,71.8,206.7762377,107.2980075,29.5120697,58.14653015,0
157,11,71.9,213.9608051,109.1670317,29.60258675,58.62226868,0
158,8.6,71.7,222.7562238,105.4405121,29.6568985,57.91492462,0
159,11,71.9,218.6087277,101.1937799,29.56637955,58.14653015,0
160,16,72.2,193.8292874,103.6991268,29.60258675,57.71774673,0
161,12.6,71,202.1724781,115.0606888,29.6568985,57.74591446,0
162,17.4,71.3,171.5732533,97.68297384,29.60258675,57.89927673,0
163,13.6,72.1,222.955593,91.5093652,29.5482769,57.7271347,0
